method,alpha,calib_frac,runs,coverage_mean,coverage_std,abs_coverage_gap_mean,abs_coverage_gap_std,mean_set_size_mean,mean_set_size_std,top1_accuracy_mean,top1_accuracy_std,fail_to_abstain_rate_mean,fail_to_abstain_rate_std,singleton_rate_mean,singleton_rate_std,ece_top1_mean,ece_top1_std
prompt_only_top1,0.1,0.1,5,0.5913906041000815,0.03312356310203842,0.30860939589991854,0.03312356310203841,1.0,0.0,0.5913906041000815,0.03312356310203842,0.4086093958999185,0.033123563102038414,1.0,0.0,0.11695931543585769,0.014866246277936092
prompt_only_top1,0.1,0.25,5,0.6076393750678991,0.016973637086663596,0.29236062493210085,0.016973637086663614,1.0,0.0,0.6076393750678991,0.016973637086663596,0.3923606249321009,0.016973637086663593,1.0,0.0,0.10082628864678198,0.023948763656609057
prompt_only_top1,0.1,0.4,5,0.6240905317139733,0.038806049315760476,0.2759094682860266,0.038806049315760496,1.0,0.0,0.6240905317139733,0.038806049315760476,0.37590946828602656,0.038806049315760476,1.0,0.0,0.1004792961102392,0.02953157544041632
prompt_only_top1,0.2,0.1,5,0.5913906041000815,0.03312356310203842,0.2086093958999186,0.03312356310203844,1.0,0.0,0.5913906041000815,0.03312356310203842,0.4086093958999185,0.033123563102038414,1.0,0.0,0.11695931543585769,0.014866246277936092
prompt_only_top1,0.2,0.25,5,0.6076393750678991,0.016973637086663596,0.1923606249321009,0.01697363708666361,1.0,0.0,0.6076393750678991,0.016973637086663596,0.3923606249321009,0.016973637086663593,1.0,0.0,0.10082628864678198,0.023948763656609057
prompt_only_top1,0.2,0.4,5,0.6240905317139733,0.038806049315760476,0.1759094682860266,0.03880604931576046,1.0,0.0,0.6240905317139733,0.038806049315760476,0.37590946828602656,0.038806049315760476,1.0,0.0,0.1004792961102392,0.02953157544041632
temperature_conformal,0.05,0.1,5,0.9455980933352995,0.022845512692755223,0.01828220188257528,0.011328715547523778,11.545842142452122,2.7978436698929414,0.467306357454642,0.10744382383328785,0.0008265520241568,0.0011328963239243517,0.015328317723527279,0.032090146371151845,0.08888747481788827,0.025700960371090643
temperature_conformal,0.05,0.25,5,0.9545115652818665,0.011651165379697261,0.01021437652684674,0.005547573481306218,12.054796131445785,1.7109439720843225,0.4689523372793972,0.09560969650013379,0.0,0.0,0.00431372549019606,0.009645783432351994,0.08841212341298463,0.017105015580526305
temperature_conformal,0.05,0.4,5,0.9467110076774142,0.021583877546894514,0.01686624593762388,0.011126445660962454,11.69757852065091,2.096659113071987,0.47144936467042964,0.08158034043750409,0.0,0.0,0.010358565737051779,0.023162457137447988,0.0761645719587705,0.014280440829463413
temperature_conformal,0.1,0.1,5,0.8999379638018947,0.028022406936631373,0.021012737331757996,0.015275509432345838,8.952225515816803,3.085947644275932,0.467306357454642,0.10744382383328785,0.00168125287885766,0.0027812937144527056,0.044689657571537075,0.07211344572722232,0.08848840818266634,0.025709827919907755
temperature_conformal,0.1,0.25,5,0.9041231671738202,0.013245637046397203,0.00986850145210988,0.008658139757252008,9.243399073265536,2.565373646539265,0.4689523372793972,0.09560969650013379,0.00274509803921568,0.006138225820587644,0.034786758697494126,0.0587467023075337,0.08873010379887944,0.01663167730305041
temperature_conformal,0.1,0.4,5,0.8986629521000278,0.026509054120660343,0.016928935784338243,0.018620646826649493,8.930657996123008,2.4852198084636004,0.47144936467042964,0.08158034043750409,0.00358565737051792,0.00801777362450122,0.03821318160925502,0.05791254901923135,0.07622945555238178,0.014353965553152881
temperature_conformal,0.2,0.1,5,0.815657422464651,0.027068457071010507,0.027473789730119897,0.009779241449738095,5.868697261812494,2.7273693062453117,0.467306357454642,0.10744382383328785,0.01497964384802172,0.017394959061398468,0.1277539006787651,0.14245983980582297,0.08773545801403292,0.025612473210608343
