n,coverage,noncoverage_rate,mean_set_size,median_set_size,p90_set_size,top1_accuracy,singleton_rate,abstain_rate,empty_set_rate,fail_to_abstain_rate,ece_top1,unsafe_n,unsafe_coverage,unsafe_fail_to_abstain_rate,method,alpha,domain,seed,target_coverage,coverage_gap,result_file
246,0.8373983739837398,0.1626016260162601,5.939024390243903,6.0,10.0,0.5203252032520326,0.1747967479674796,0.8252032520325203,0.0,0.008130081300813,0.2699891478002158,176,0.9431818181818182,0.0,aps_conformal,0.2,target_camera_shift,0,0.8,0.0373983739837398,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.20.csv
162,0.8641975308641975,0.1358024691358025,8.0,9.0,10.0,0.4135802469135802,0.0432098765432098,0.9567901234567902,0.0,0.0,0.1677504724633364,117,0.905982905982906,0.0,aps_conformal,0.2,target_lighting_shift,0,0.8,0.0641975308641974,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.20.csv
93,0.935483870967742,0.0645161290322581,6.010752688172043,7.0,11.0,0.6559139784946236,0.2150537634408602,0.7849462365591398,0.0,0.0,0.1554486524808995,83,0.9518072289156626,0.0,aps_conformal,0.2,target_occluded,0,0.8,0.1354838709677418,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.20.csv
246,0.7723577235772358,0.2276422764227642,3.089430894308943,3.0,5.0,0.5203252032520326,0.2560975609756097,0.7439024390243902,0.0,0.048780487804878,0.0786453133130395,176,0.8977272727272727,0.0284090909090909,temperature_conformal,0.2,target_camera_shift,0,0.8,-0.0276422764227642,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.20.csv
162,0.7098765432098766,0.2901234567901234,4.364197530864198,4.0,6.0,0.4135802469135802,0.0493827160493827,0.9506172839506172,0.0,0.0,0.1913210432350468,117,0.7692307692307693,0.0,temperature_conformal,0.2,target_lighting_shift,0,0.8,-0.0901234567901234,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.20.csv
93,0.8709677419354839,0.1290322580645161,2.978494623655914,2.0,6.0,0.6559139784946236,0.3118279569892473,0.6881720430107527,0.0,0.021505376344086,0.1250599848852673,83,0.8795180722891566,0.0120481927710843,temperature_conformal,0.2,target_occluded,0,0.8,0.0709677419354838,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.20.csv
246,0.5121951219512195,0.4878048780487805,1.0,1.0,1.0,0.5121951219512195,1.0,0.0,0.0,0.4878048780487805,0.1811517323352262,176,0.5795454545454546,0.4204545454545454,prompt_only_top1,0.2,target_camera_shift,0,0.8,-0.2878048780487805,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.20.csv
162,0.7592592592592593,0.2407407407407407,1.0,1.0,1.0,0.7592592592592593,1.0,0.0,0.0,0.2407407407407407,0.0702497456978284,117,0.7948717948717948,0.2051282051282051,prompt_only_top1,0.2,target_lighting_shift,0,0.8,-0.0407407407407407,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.20.csv
93,0.6774193548387096,0.3225806451612903,1.0,1.0,1.0,0.6774193548387096,1.0,0.0,0.0,0.3225806451612903,0.1232857505324199,83,0.7108433734939759,0.2891566265060241,prompt_only_top1,0.2,target_occluded,0,0.8,-0.1225806451612904,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.20.csv
246,0.6747967479674797,0.3252032520325203,2.0284552845528454,2.0,4.0,0.5121951219512195,0.4308943089430894,0.5691056910569106,0.0,0.1341463414634146,0.1811517323352262,176,0.7840909090909091,0.125,coras,0.2,target_camera_shift,0,0.8,-0.1252032520325203,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.20.csv
162,0.8518518518518519,0.1481481481481481,1.7962962962962965,1.0,4.0,0.7592592592592593,0.6111111111111112,0.3888888888888889,0.0,0.0185185185185185,0.0702497456978284,117,0.8803418803418803,0.0085470085470085,coras,0.2,target_lighting_shift,0,0.8,0.0518518518518518,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.20.csv
93,0.8279569892473119,0.1720430107526881,1.7956989247311828,1.0,3.0,0.6774193548387096,0.5268817204301075,0.4731182795698925,0.0,0.053763440860215,0.1232857505324199,83,0.8433734939759037,0.0481927710843373,coras,0.2,target_occluded,0,0.8,0.0279569892473118,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.20.csv
246,0.8658536585365854,0.1341463414634146,6.6016260162601625,7.0,10.0,0.5121951219512195,0.073170731707317,0.926829268292683,0.0,0.0,0.1811517323352262,176,0.9488636363636364,0.0,coras_aps,0.2,target_camera_shift,0,0.8,0.0658536585365853,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.20.csv
162,0.9320987654320988,0.0679012345679012,5.283950617283951,5.5,10.0,0.7592592592592593,0.345679012345679,0.654320987654321,0.0,0.0,0.0702497456978284,117,0.9658119658119658,0.0,coras_aps,0.2,target_lighting_shift,0,0.8,0.1320987654320987,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.20.csv
93,0.978494623655914,0.021505376344086,5.161290322580645,6.0,9.0,0.6774193548387096,0.3118279569892473,0.6881720430107527,0.0,0.0,0.1232857505324199,83,0.9759036144578314,0.0,coras_aps,0.2,target_occluded,0,0.8,0.1784946236559139,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.20.csv
246,0.7276422764227642,0.2723577235772357,2.845528455284553,2.0,6.0,0.5121951219512195,0.3089430894308943,0.6910569105691057,0.0,0.0772357723577235,0.1811517323352262,176,0.8409090909090909,0.0738636363636363,mondrian_domain,0.2,target_camera_shift,0,0.8,-0.0723577235772358,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.20.csv
162,0.8641975308641975,0.1358024691358025,2.253086419753086,1.0,5.0,0.7592592592592593,0.5493827160493827,0.4506172839506173,0.0,0.0123456790123456,0.0702497456978284,117,0.8888888888888888,0.0085470085470085,mondrian_domain,0.2,target_lighting_shift,0,0.8,0.0641975308641974,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.20.csv
