method,alpha,n,token_coverage,mean_set_size,mean_codebook_quant_l2,p90_codebook_quant_l2,top1_action_l2_mean,top1_action_l2_p90,set_oracle_action_l2_mean,set_oracle_action_l2_p90,action_l2_improvement_vs_top1,mean_set_action_diameter,p90_set_action_diameter,empty_set_rate,file,run_dir
vanilla_conformal,0.1,3329,0.8987683989185942,49.99909882847702,0.3323724269866943,0.5942272543907166,0.7619702219963074,1.2404005527496338,0.3307960357636741,0.5989951848983768,0.4311741529934536,2.004823860981759,2.124490737915039,0.0,prediction_sets_vanilla_conformal_alpha0.10.csv,seed2_calib0.25
aps_conformal,0.1,4198,0.9397332062887088,52.00166746069557,0.3032435178756714,0.5067863464355469,0.7353521585464478,1.1305824518203735,0.2938260018943998,0.4838303416967393,0.441526146129079,2.035669138001055,2.124490737915039,0.0,prediction_sets_aps_conformal_alpha0.10.csv,seed2_calib0.40
coras,0.1,4198,0.9356836588851836,52.135064316341115,0.3032435178756714,0.5067863464355469,0.7328153848648071,1.1923069953918457,0.2945498182893548,0.4796298295259476,0.4382655052197525,2.0573355212218423,2.124490737915039,0.0,prediction_sets_coras_alpha0.10.csv,seed2_calib0.40
coras_aps,0.1,4198,0.9368747022391616,52.3858980466889,0.3032435178756714,0.5067863464355469,0.7328153848648071,1.1923069953918457,0.2943257797798279,0.4796298295259476,0.4384895437292794,2.0595436404863388,2.124490737915039,0.0,prediction_sets_coras_aps_alpha0.10.csv,seed2_calib0.40
mondrian_domain,0.1,4198,0.9533111005240592,54.70628870890901,0.3032435178756714,0.5067863464355469,0.7328153848648071,1.1923069953918457,0.2931743806794644,0.4790594100952148,0.4396409428296429,2.07730330010719,2.124490737915039,0.0,prediction_sets_mondrian_domain_alpha0.10.csv,seed2_calib0.40
prompt_only_top1,0.1,4198,0.0990948070509766,1.0,0.3032435178756714,0.5067863464355469,0.7328153848648071,1.1923069953918457,0.7328153235091073,1.1923069953918457,0.0,0.0,0.0,0.0,prediction_sets_prompt_only_top1_alpha0.10.csv,seed2_calib0.40
temperature_conformal,0.1,4198,0.9394949976179132,51.96093377798952,0.3032435178756714,0.5067863464355469,0.7353521585464478,1.1305824518203735,0.2939404462953996,0.4838303416967393,0.4414117017280791,2.039628420261158,2.124490737915039,0.0,prediction_sets_temperature_conformal_alpha0.10.csv,seed2_calib0.40
top1_singleton,0.1,4198,0.0995712243925679,1.0,0.3032435178756714,0.5067863464355469,0.7353521585464478,1.1305824518203735,0.7353521480234788,1.1305824995040894,0.0,0.0,0.0,0.0,prediction_sets_top1_singleton_alpha0.10.csv,seed2_calib0.40
topk_calibrated,0.1,4198,0.924726060028585,51.0,0.3032435178756714,0.5067863464355469,0.7353521585464478,1.1305824518203735,0.2943158531918671,0.4854092121124268,0.4410362948316117,2.0446808171476736,2.124490737915039,0.0,prediction_sets_topk_calibrated_alpha0.10.csv,seed2_calib0.40
vanilla_conformal,0.1,4198,0.9406860409718912,52.65721772272511,0.3032435178756714,0.5067863464355469,0.7353521585464478,1.1305824518203735,0.2940446356936611,0.4840572416782379,0.4413075123298177,2.034379847393881,2.124490737915039,0.0,prediction_sets_vanilla_conformal_alpha0.10.csv,seed2_calib0.40
